lasttradetime,open,high,low,close,openinterest,volume
2024-04-10 14:59:00,201.6,201.6,200.5,201.0,283350,3300
2024-04-10 15:00:00,201.0,202.35,199.2,202.35,283350,4550
2024-04-10 15:01:00,203.7,206.6,202.5,205.0,281450,13200
2024-04-10 15:02:00,205.1,206.9,205.1,206.25,281450,8200
2024-04-10 15:03:00,206.0,209.4,205.1,205.4,281450,20350
2024-04-10 15:04:00,205.35,207.95,205.2,207.8,277100,8400
2024-04-10 15:05:00,208.0,211.85,208.0,208.4,277100,32850
2024-04-10 15:06:00,208.4,208.4,205.45,206.1,277100,18550
2024-04-10 15:07:00,206.15,208.0,206.15,208.0,288150,10300
2024-04-10 15:08:00,208.05,208.6,205.55,205.75,288150,7950
2024-04-10 15:09:00,203.95,203.95,200.15,200.5,288150,11200
2024-04-10 15:10:00,200.15,203.9,200.0,203.9,289450,12750
2024-04-10 15:11:00,203.85,203.85,201.7,203.55,289450,5350
2024-04-10 15:12:00,203.55,203.55,201.0,201.0,289450,1900
2024-04-10 15:13:00,200.6,200.85,199.45,200.55,293250,9750
2024-04-10 15:14:00,200.55,201.35,198.15,199.25,293250,7750
2024-04-10 15:15:00,198.8,200.0,198.8,199.5,293250,5550
2024-04-10 15:16:00,199.5,199.95,197.5,197.55,295650,10100
2024-04-10 15:17:00,197.1,197.1,196.0,197.0,295650,8150
2024-04-10 15:18:00,197.0,197.25,196.05,196.05,295650,6500
2024-04-10 15:19:00,196.05,199.0,195.35,198.35,298700,10450
2024-04-10 15:20:00,199.1,200.35,198.6,199.95,298700,12400
2024-04-10 15:21:00,199.8,199.85,198.35,198.4,298700,7500
2024-04-10 15:22:00,198.2,198.2,195.8,196.95,300950,12950
2024-04-10 15:23:00,197.4,199.5,197.35,199.35,300950,21350
2024-04-10 15:24:00,199.35,199.5,197.85,197.85,300950,5550
2024-04-10 15:25:00,198.0,199.0,198.0,199.0,291700,10950
2024-04-10 15:26:00,199.0,201.9,198.9,201.5,291700,31650
2024-04-10 15:27:00,201.9,204.4,200.6,204.4,291700,19050
2024-04-10 15:28:00,204.7,205.4,203.55,203.85,276900,16500
2024-04-10 15:29:00,204.55,204.65,203.15,204.65,276900,19350
2024-04-10 15:30:00,204.65,204.65,204.65,204.65,276900,0
