close,exchange,high,instrumentidentifier,tradedqty,lasttradetime,low,open,openinterest
114.8,NFO,118.35,NIFTY25MAY2318500PE,53000,2023-05-23 10:36:00+00,114.8,117.4,2750300
23.25,NFO,23.3,NIFTY25MAY2318500CE,200200,2023-05-23 10:36:00+00,22.4,22.55,10211800
110.85,NFO,115.4,NIFTY25MAY2318500PE,287700,2023-05-23 10:37:00+00,109.15,115,2750300
24.35,NFO,24.45,NIFTY25MAY2318500CE,656550,2023-05-23 10:37:00+00,23.05,23.2,10211800
111.2,NFO,112.25,NIFTY25MAY2318500PE,93200,2023-05-23 10:38:00+00,110.45,110.65,2785300
24.1,NFO,24.45,NIFTY25MAY2318500CE,339450,2023-05-23 10:38:00+00,23.9,24.3,10139550
108.95,NFO,111.2,NIFTY25MAY2318500PE,142400,2023-05-23 10:39:00+00,107.75,111.05,2785300
25.15,NFO,25.2,NIFTY25MAY2318500CE,704800,2023-05-23 10:39:00+00,24,24,10139550
25.75,NFO,25.9,NIFTY25MAY2318500CE,470500,2023-05-23 10:40:00+00,24.95,25.15,10139550
107.1,NFO,109.2,NIFTY25MAY2318500PE,135500,2023-05-23 10:40:00+00,106.4,108.25,2785300
109.4,NFO,109.65,NIFTY25MAY2318500PE,172400,2023-05-23 10:41:00+00,104.75,107.35,2862850
25.2,NFO,26.8,NIFTY25MAY2318500CE,709150,2023-05-23 10:41:00+00,25.15,25.75,10161600
25.9,NFO,26.05,NIFTY25MAY2318500CE,256200,2023-05-23 10:42:00+00,25.2,25.35,10161600
107.65,NFO,109.4,NIFTY25MAY2318500PE,59700,2023-05-23 10:42:00+00,107.45,109.2,2862850
107.55,NFO,108.35,NIFTY25MAY2318500PE,82700,2023-05-23 10:43:00+00,106,107.85,2862850
25.8,NFO,26.2,NIFTY25MAY2318500CE,338400,2023-05-23 10:43:00+00,25.6,25.85,10161600
107.25,NFO,108.65,NIFTY25MAY2318500PE,60500,2023-05-23 10:44:00+00,106.35,107.75,2891950
26,NFO,26.2,NIFTY25MAY2318500CE,405700,2023-05-23 10:44:00+00,25.4,25.75,10167150
106,NFO,106.35,NIFTY25MAY2318500PE,157700,2023-05-23 10:45:00+00,103.6,106.35,2891950
26.7,NFO,27.6,NIFTY25MAY2318500CE,916250,2023-05-23 10:45:00+00,26.2,26.2,10167150
26.9,NFO,27.2,NIFTY25MAY2318500CE,436650,2023-05-23 10:46:00+00,26.55,26.55,10167150
105.95,NFO,106.5,NIFTY25MAY2318500PE,86400,2023-05-23 10:46:00+00,104.9,106.5,2891950
26.7,NFO,27.3,NIFTY25MAY2318500CE,351800,2023-05-23 10:47:00+00,26.65,26.9,10012750
105.95,NFO,106.05,NIFTY25MAY2318500PE,67850,2023-05-23 10:47:00+00,104.95,105.75,2962100
25.85,NFO,26.85,NIFTY25MAY2318500CE,495350,2023-05-23 10:48:00+00,25.3,26.85,10012750
108.3,NFO,109.2,NIFTY25MAY2318500PE,143100,2023-05-23 10:48:00+00,105.5,105.5,2962100
26.2,NFO,26.4,NIFTY25MAY2318500CE,250200,2023-05-23 10:49:00+00,25.5,25.85,10012750
106.85,NFO,109.05,NIFTY25MAY2318500PE,55100,2023-05-23 10:49:00+00,106.85,108.15,2962100
109.5,NFO,110.2,NIFTY25MAY2318500PE,130850,2023-05-23 10:50:00+00,106.25,106.9,2981400
25.2,NFO,26.45,NIFTY25MAY2318500CE,401450,2023-05-23 10:50:00+00,24.85,26.3,9966700
110.4,NFO,111.1,NIFTY25MAY2318500PE,99950,2023-05-23 10:51:00+00,109.2,109.6,2981400
24.95,NFO,25.35,NIFTY25MAY2318500CE,239250,2023-05-23 10:51:00+00,24.4,25.15,9966700
24.75,NFO,24.95,NIFTY25MAY2318500CE,406700,2023-05-23 10:52:00+00,24,24.75,9966700
111.4,NFO,112.85,NIFTY25MAY2318500PE,111750,2023-05-23 10:52:00+00,110.05,110.75,2981400
110,NFO,111.6,NIFTY25MAY2318500PE,74500,2023-05-23 10:53:00+00,109.05,111.25,2993100
25.1,NFO,25.35,NIFTY25MAY2318500CE,234150,2023-05-23 10:53:00+00,24.45,24.75,9919200
111,NFO,111.25,NIFTY25MAY2318500PE,71450,2023-05-23 10:54:00+00,109.3,109.55,2993100
24.75,NFO,25.3,NIFTY25MAY2318500CE,254250,2023-05-23 10:54:00+00,24.65,25.05,9919200
109.85,NFO,111.8,NIFTY25MAY2318500PE,67450,2023-05-23 10:55:00+00,108.5,111.3,2993100
25.35,NFO,25.7,NIFTY25MAY2318500CE,207300,2023-05-23 10:55:00+00,24.5,24.65,9919200
109.4,NFO,110.5,NIFTY25MAY2318500PE,65900,2023-05-23 10:56:00+00,107.5,109.3,3005000
25.5,NFO,26,NIFTY25MAY2318500CE,212700,2023-05-23 10:56:00+00,25.2,25.55,9902950
112,NFO,112.4,NIFTY25MAY2318500PE,74000,2023-05-23 10:57:00+00,109.6,109.6,3005000
24.35,NFO,25.45,NIFTY25MAY2318500CE,205900,2023-05-23 10:57:00+00,24.35,25.45,9902950
110.05,NFO,112.05,NIFTY25MAY2318500PE,75550,2023-05-23 10:58:00+00,109.3,111.9,3005000
25.05,NFO,25.35,NIFTY25MAY2318500CE,192700,2023-05-23 10:58:00+00,24.5,24.55,9902950
